logg,logT,mass,tau,R
9.0,4.36,1.173,0.36647,0.005685
9.0,4.34,1.173,0.42409,0.005684
9.0,4.32,1.172,0.49013,0.005682
9.0,4.3,1.172,0.56086,0.005681
9.0,4.28,1.171,0.63523,0.005679
9.0,4.26,1.171,0.71361,0.005678
9.0,4.24,1.17,0.79602,0.005677
9.0,4.22,1.17,0.88239,0.005675
9.0,4.2,1.17,0.97311,0.005674
9.0,4.18,1.169,1.0685,0.005674
9.0,4.16,1.169,1.16968,0.005673
9.0,4.14,1.169,1.27604,0.005672
9.0,4.12,1.169,1.38876,0.005671
9.0,4.1,1.169,1.50924,0.00567
9.0,4.08,1.168,1.63752,0.00567
9.0,4.06,1.168,1.76588,0.005669
9.0,4.04,1.168,1.90481,0.005669
9.0,4.02,1.168,2.05475,0.005668
9.0,4.0,1.168,2.21597,0.005668
9.0,3.98,1.168,2.38864,0.005667
9.0,3.96,1.168,2.57255,0.005667
9.0,3.94,1.168,2.76747,0.005667
9.0,3.92,1.167,2.97299,0.005666
9.0,3.9,1.167,3.18917,0.005666
9.0,3.88,1.167,3.41562,0.005666
9.0,3.86,1.167,3.65283,0.005665
9.0,3.84,1.167,3.90007,0.005665
9.0,3.82,1.167,4.15751,0.005665
9.0,3.8,1.167,4.43388,0.005664
9.0,3.78,1.167,4.76943,0.005664
9.0,3.76,1.167,5.2007,0.005663
9.0,3.74,1.167,5.65908,0.005663
9.0,3.72,1.166,6.06285,0.005662
9.0,3.7,1.166,6.3956,0.005662
9.0,3.68,1.166,6.64664,0.005662
9.0,3.66,1.166,6.83801,0.005662
9.0,3.64,1.166,6.9852,0.005662
9.0,3.62,1.166,7.10554,0.005661
9.0,3.6,1.166,7.19835,0.005661
9.0,3.58,1.166,7.27537,0.005661
9.0,3.56,1.166,7.33969,0.005661
9.0,3.54,1.166,7.39343,0.005661
9.0,3.52,1.166,7.44632,0.005661
9.0,3.5,1.166,7.49921,0.005661
9.0,3.48,1.166,7.5521,0.005661
9.0,3.46,1.166,7.60499,0.005661
9.0,3.44,1.166,7.65787,0.005661
9.0,3.42,1.166,7.71076,0.005661
9.0,3.4,1.166,7.76364,0.005661
9.1,4.9,1.231,2.8E-4,0.005184
9.1,4.88,1.23,3.3E-4,0.005182
9.1,4.86,1.23,3.9E-4,0.00518
9.1,4.84,1.229,5.0E-4,0.005178
9.1,4.82,1.228,7.3E-4,0.005175
9.1,4.8,1.228,0.00104,0.005173
9.1,4.78,1.227,0.00148,0.005171
9.1,4.76,1.226,0.00255,0.005168
9.1,4.74,1.225,0.00589,0.005165
9.1,4.72,1.224,0.01117,0.005163
9.1,4.7,1.224,0.01765,0.005163
9.1,4.68,1.223,0.0254,0.005162
9.1,4.66,1.222,0.03444,0.005161
9.1,4.64,1.221,0.04481,0.00516
9.1,4.62,1.221,0.05656,0.005159
9.1,4.6,1.22,0.06981,0.005158
9.1,4.58,1.22,0.08469,0.005158
9.1,4.56,1.219,0.10141,0.005157
9.1,4.54,1.219,0.12015,0.005156
9.1,4.52,1.218,0.14113,0.005156
9.1,4.5,1.218,0.16459,0.005155
9.1,4.48,1.217,0.19075,0.005155
9.1,4.46,1.217,0.21982,0.005154
9.1,4.44,1.216,0.25643,0.005153
9.1,4.42,1.214,0.30774,0.005151
9.1,4.4,1.212,0.36393,0.005149
9.1,4.38,1.21,0.42183,0.005147
9.1,4.36,1.208,0.47968,0.005146
9.1,4.34,1.207,0.54328,0.005145
9.1,4.32,1.206,0.6102,0.005144
9.1,4.3,1.205,0.68204,0.005143
9.1,4.28,1.205,0.75589,0.005142
9.1,4.26,1.205,0.83311,0.005141
9.1,4.24,1.204,0.91446,0.005141
9.1,4.22,1.204,1.0,0.00514
9.1,4.2,1.204,1.09047,0.00514
9.1,4.18,1.203,1.18584,0.005139
9.1,4.16,1.203,1.28687,0.005139
9.1,4.14,1.203,1.39094,0.005139
9.1,4.12,1.203,1.49983,0.005138
9.1,4.1,1.203,1.61633,0.005138
9.1,4.08,1.203,1.74033,0.005138
9.1,4.06,1.202,1.86856,0.005137
9.1,4.04,1.202,2.00513,0.005137
9.1,4.02,1.202,2.14998,0.005137
9.1,4.0,1.202,2.30292,0.005137
9.1,3.98,1.202,2.46391,0.005137
9.1,3.96,1.202,2.63277,0.005136
9.1,3.94,1.202,2.80898,0.005136
9.1,3.92,1.202,2.99217,0.005136
9.1,3.9,1.202,3.1823,0.005136
9.1,3.88,1.202,3.37899,0.005136
9.1,3.86,1.202,3.58197,0.005136
9.1,3.84,1.201,3.79076,0.005135
9.1,3.82,1.201,4.0062,0.005135
9.1,3.8,1.201,4.23959,0.005135
9.1,3.78,1.201,4.52726,0.005135
9.1,3.76,1.201,4.88108,0.005135
9.1,3.74,1.201,5.23514,0.005134
9.1,3.72,1.201,5.53435,0.005134
9.1,3.7,1.201,5.77683,0.005134
9.1,3.68,1.201,5.95559,0.005134
9.1,3.66,1.201,6.09044,0.005134
9.1,3.64,1.201,6.19942,0.005134
9.1,3.62,1.201,6.28375,0.005133
9.1,3.6,1.201,6.35612,0.005133
9.1,3.58,1.201,6.42186,0.005132
9.1,3.56,1.201,6.48225,0.005131
9.1,3.54,1.201,6.53818,0.005131
9.1,3.52,1.201,6.59376,0.00513
9.1,3.5,1.201,6.64933,0.005129
9.1,3.48,1.201,6.70491,0.005129
9.1,3.46,1.201,6.76047,0.005128
9.1,3.44,1.2,6.81604,0.005127
9.1,3.42,1.2,6.8716,0.005127
9.1,3.4,1.2,6.92716,0.005126
9.2,4.9,1.261,2.9E-4,0.004698
9.2,4.88,1.26,3.6E-4,0.004697
9.2,4.86,1.26,4.9E-4,0.004696
9.2,4.84,1.259,8.5E-4,0.004695
9.2,4.82,1.258,0.00236,0.004694
9.2,4.8,1.257,0.00467,0.004693
9.2,4.78,1.256,0.00751,0.004691
9.2,4.76,1.256,0.0112,0.00469
9.2,4.74,1.255,0.01667,0.004688
9.2,4.72,1.254,0.02372,0.004686
9.2,4.7,1.254,0.0321,0.004685
9.2,4.68,1.253,0.04184,0.004683
9.2,4.66,1.253,0.05301,0.004682
9.2,4.64,1.252,0.06568,0.004681
9.2,4.62,1.252,0.07995,0.00468
9.2,4.6,1.251,0.09599,0.004679
9.2,4.58,1.251,0.11395,0.004678
9.2,4.56,1.251,0.13524,0.004677
9.2,4.54,1.249,0.16386,0.004676
9.2,4.52,1.248,0.19642,0.004676
9.2,4.5,1.246,0.22924,0.004676
9.2,4.48,1.245,0.26264,0.004676
9.2,4.46,1.245,0.29754,0.004675
9.2,4.44,1.244,0.33882,0.004675
9.2,4.42,1.243,0.39166,0.00467
9.2,4.4,1.241,0.45035,0.004663
9.2,4.38,1.24,0.51308,0.004657
9.2,4.36,1.239,0.57613,0.004652
9.2,4.34,1.238,0.64227,0.004649
9.2,4.32,1.237,0.70992,0.004646
9.2,4.3,1.236,0.78216,0.004643
9.2,4.28,1.236,0.85524,0.004641
9.2,4.26,1.236,0.93092,0.00464
9.2,4.24,1.236,1.01033,0.00464
9.2,4.22,1.235,1.09363,0.004639
9.2,4.2,1.235,1.18204,0.004638
9.2,4.18,1.235,1.27535,0.004638
9.2,4.16,1.235,1.37409,0.004637
9.2,4.14,1.235,1.47457,0.004636
9.2,4.12,1.235,1.57848,0.004636
9.2,4.1,1.234,1.6892,0.004636
9.2,4.08,1.234,1.80656,0.004635
9.2,4.06,1.234,1.93026,0.004635
9.2,4.04,1.234,2.06012,0.004635
9.2,4.02,1.234,2.19576,0.004634
9.2,4.0,1.234,2.33668,0.004634
9.2,3.98,1.234,2.48273,0.004634
9.2,3.96,1.234,2.63376,0.004634
9.2,3.94,1.234,2.78909,0.004634
9.2,3.92,1.234,2.94835,0.004633
9.2,3.9,1.234,3.11141,0.004633
9.2,3.88,1.234,3.27791,0.004633
9.2,3.86,1.234,3.44711,0.004633
9.2,3.84,1.234,3.61875,0.004633
9.2,3.82,1.234,3.79415,0.004632
9.2,3.8,1.234,3.98589,0.004632
9.2,3.78,1.233,4.2257,0.004632
9.2,3.76,1.233,4.50709,0.004632
9.2,3.74,1.233,4.76902,0.004631
9.2,3.72,1.233,4.97833,0.004631
9.2,3.7,1.233,5.1437,0.004631
9.2,3.68,1.233,5.26138,0.004631
9.2,3.66,1.233,5.34866,0.004631
9.2,3.64,1.233,5.42399,0.004631
9.2,3.62,1.233,5.47782,0.00463
9.2,3.6,1.233,5.53046,0.004629
9.2,3.58,1.233,5.58316,0.004628
9.2,3.56,1.233,5.63588,0.004627
9.2,3.54,1.233,5.68863,0.004626
9.2,3.52,1.233,5.74141,0.004625
9.2,3.5,1.233,5.79422,0.004624
9.2,3.48,1.233,5.84706,0.004623
9.2,3.46,1.233,5.89992,0.004622
9.2,3.44,1.233,5.95281,0.004621
9.2,3.42,1.233,6.00573,0.00462
9.2,3.4,1.233,6.05868,0.004619
9.3,4.9,1.291,3.0E-4,0.004212
9.3,4.88,1.29,3.9E-4,0.004212
9.3,4.86,1.289,5.8E-4,0.004212
9.3,4.84,1.289,0.0012,0.004212
9.3,4.82,1.287,0.00399,0.004212
9.3,4.8,1.286,0.00829,0.004212
9.3,4.78,1.286,0.01354,0.004212
9.3,4.76,1.285,0.01986,0.004212
9.3,4.74,1.284,0.02751,0.004211
9.3,4.72,1.284,0.03652,0.004211
9.3,4.7,1.283,0.0469,0.004211
9.3,4.68,1.283,0.05874,0.004211
9.3,4.66,1.282,0.07217,0.00421
9.3,4.64,1.282,0.08728,0.00421
9.3,4.62,1.282,0.10428,0.00421
9.3,4.6,1.281,0.12332,0.00421
9.3,4.58,1.281,0.14461,0.00421
9.3,4.56,1.28,0.17099,0.004209
9.3,4.54,1.278,0.21116,0.004209
9.3,4.52,1.274,0.25747,0.004211
9.3,4.5,1.272,0.30147,0.004212
9.3,4.48,1.27,0.34339,0.004213
9.3,4.46,1.269,0.385,0.004213
9.3,4.44,1.268,0.4309,0.004214
9.3,4.42,1.267,0.48255,0.004212
9.3,4.4,1.266,0.53795,0.004209
9.3,4.38,1.265,0.59673,0.004206
9.3,4.36,1.264,0.65622,0.004204
9.3,4.34,1.264,0.71859,0.004202
9.3,4.32,1.263,0.78299,0.0042
9.3,4.3,1.263,0.85103,0.004199
9.3,4.28,1.263,0.92067,0.004198
9.3,4.26,1.262,0.99284,0.004198
9.3,4.24,1.262,1.06749,0.004197
9.3,4.22,1.262,1.14484,0.004197
9.3,4.2,1.262,1.22647,0.004197
9.3,4.18,1.262,1.31232,0.004196
9.3,4.16,1.262,1.40261,0.004196
9.3,4.14,1.262,1.49521,0.004196
9.3,4.12,1.262,1.59081,0.004196
9.3,4.1,1.261,1.69104,0.004195
9.3,4.08,1.261,1.7957,0.004195
9.3,4.06,1.261,1.90444,0.004195
9.3,4.04,1.261,2.01704,0.004195
9.3,4.02,1.261,2.13322,0.004195
9.3,4.0,1.261,2.25262,0.004195
9.3,3.98,1.261,2.37508,0.004195
9.3,3.96,1.261,2.50056,0.004195
9.3,3.94,1.261,2.62858,0.004194
9.3,3.92,1.261,2.75877,0.004194
9.3,3.9,1.261,2.89093,0.004194
9.3,3.88,1.261,3.02474,0.004194
9.3,3.86,1.261,3.15976,0.004194
9.3,3.84,1.261,3.29588,0.004194
9.3,3.82,1.261,3.43441,0.004194
9.3,3.8,1.261,3.58606,0.004194
9.3,3.78,1.261,3.7761,0.004194
9.3,3.76,1.261,3.99568,0.004193
9.3,3.74,1.26,4.19496,0.004193
9.3,3.72,1.26,4.35118,0.004193
9.3,3.7,1.26,4.4731,0.004193
9.3,3.68,1.26,4.55886,0.004193
9.3,3.66,1.26,4.62213,0.004193
9.3,3.64,1.26,4.67595,0.004193
9.3,3.62,1.26,4.71395,0.004193
9.3,3.6,1.26,4.7489,0.004192
9.3,3.58,1.26,4.784,0.004192
9.3,3.56,1.26,4.81915,0.004191
9.3,3.54,1.26,4.85435,0.004191
9.3,3.52,1.26,4.8896,0.004191
9.3,3.5,1.26,4.9249,0.00419
9.3,3.48,1.26,4.96025,0.00419
9.3,3.46,1.26,4.99565,0.004189
9.3,3.44,1.26,5.0311,0.004189
9.3,3.42,1.26,5.0666,0.004189
9.3,3.4,1.26,5.10214,0.004188
9.4,4.9,1.321,3.1E-4,0.003726
9.4,4.88,1.32,4.3E-4,0.003727
9.4,4.86,1.319,6.8E-4,0.003728
9.4,4.84,1.318,0.00155,0.003729
9.4,4.82,1.317,0.00562,0.00373
9.4,4.8,1.316,0.01192,0.003731
9.4,4.78,1.315,0.01957,0.003733
9.4,4.76,1.314,0.02852,0.003734
9.4,4.74,1.314,0.03835,0.003735
9.4,4.72,1.313,0.04931,0.003736
9.4,4.7,1.313,0.06171,0.003737
9.4,4.68,1.312,0.07564,0.003738
9.4,4.66,1.312,0.09132,0.003739
9.4,4.64,1.312,0.10889,0.003739
9.4,4.62,1.311,0.1286,0.00374
9.4,4.6,1.311,0.15065,0.003741
9.4,4.58,1.311,0.17527,0.003741
9.4,4.56,1.31,0.20675,0.003742
9.4,4.54,1.307,0.25845,0.003743
9.4,4.52,1.301,0.31852,0.003745
9.4,4.5,1.297,0.3737,0.003748
9.4,4.48,1.295,0.42414,0.00375
9.4,4.46,1.294,0.47247,0.003751
9.4,4.44,1.293,0.52298,0.003753
9.4,4.42,1.292,0.57345,0.003754
9.4,4.4,1.291,0.62556,0.003755
9.4,4.38,1.29,0.68039,0.003755
9.4,4.36,1.29,0.73632,0.003755
9.4,4.34,1.29,0.79492,0.003755
9.4,4.32,1.29,0.85606,0.003755
9.4,4.3,1.289,0.91989,0.003755
9.4,4.28,1.289,0.98611,0.003755
9.4,4.26,1.289,1.05476,0.003755
9.4,4.24,1.289,1.12465,0.003755
9.4,4.22,1.289,1.19605,0.003755
9.4,4.2,1.289,1.27091,0.003755
9.4,4.18,1.289,1.34928,0.003755
9.4,4.16,1.289,1.43113,0.003755
9.4,4.14,1.289,1.51584,0.003755
9.4,4.12,1.288,1.60314,0.003755
9.4,4.1,1.288,1.69287,0.003755
9.4,4.08,1.288,1.78485,0.003755
9.4,4.06,1.288,1.87862,0.003755
9.4,4.04,1.288,1.97396,0.003755
9.4,4.02,1.288,2.07068,0.003755
9.4,4.0,1.288,2.16856,0.003755
9.4,3.98,1.288,2.26744,0.003755
9.4,3.96,1.288,2.36737,0.003755
9.4,3.94,1.288,2.46807,0.003755
9.4,3.92,1.288,2.56919,0.003755
9.4,3.9,1.288,2.67044,0.003755
9.4,3.88,1.288,2.77156,0.003755
9.4,3.86,1.288,2.87241,0.003755
9.4,3.84,1.288,2.97302,0.003755
9.4,3.82,1.288,3.07467,0.003755
9.4,3.8,1.288,3.18623,0.003755
9.4,3.78,1.288,3.32652,0.003755
9.4,3.76,1.288,3.48427,0.003755
9.4,3.74,1.288,3.62091,0.003755
9.4,3.72,1.288,3.72403,0.003755
9.4,3.7,1.288,3.8025,0.003755
9.4,3.68,1.287,3.85635,0.003755
9.4,3.66,1.287,3.8956,0.003755
9.4,3.64,1.287,3.92791,0.003755
9.4,3.62,1.287,3.95009,0.003755
9.4,3.6,1.287,3.96735,0.003755
9.4,3.58,1.287,3.98485,0.003755
9.4,3.56,1.287,4.00243,0.003756
9.4,3.54,1.287,4.02008,0.003756
9.4,3.52,1.287,4.0378,0.003756
9.4,3.5,1.287,4.05559,0.003756
9.4,3.48,1.287,4.07345,0.003757
9.4,3.46,1.287,4.09139,0.003757
9.4,3.44,1.287,4.10939,0.003757
9.4,3.42,1.287,4.12747,0.003757
9.4,3.4,1.287,4.14561,0.003757
9.5,4.9,1.35,3.2E-4,0.00324
9.5,4.88,1.35,4.6E-4,0.003242
9.5,4.86,1.349,7.7E-4,0.003244
9.5,4.84,1.348,0.0019,0.003246
9.5,4.82,1.346,0.00725,0.003249
9.5,4.8,1.345,0.01555,0.003251
9.5,4.78,1.344,0.0256,0.003253
9.5,4.76,1.343,0.03718,0.003256
9.5,4.74,1.343,0.04918,0.003259
9.5,4.72,1.343,0.06211,0.003262
9.5,4.7,1.342,0.07651,0.003264
9.5,4.68,1.342,0.09254,0.003266
9.5,4.66,1.342,0.11047,0.003267
9.5,4.64,1.341,0.13049,0.003269
9.5,4.62,1.341,0.15292,0.00327
9.5,4.6,1.341,0.17798,0.003272
9.5,4.58,1.34,0.20593,0.003273
9.5,4.56,1.34,0.24251,0.003274
9.5,4.54,1.335,0.30575,0.003276
9.5,4.52,1.328,0.37958,0.00328
9.5,4.5,1.323,0.44592,0.003284
9.5,4.48,1.32,0.5049,0.003287
9.5,4.46,1.319,0.55993,0.003289
9.5,4.44,1.317,0.61506,0.003292
9.5,4.42,1.316,0.66434,0.003296
9.5,4.4,1.316,0.71316,0.003301
9.5,4.38,1.316,0.76405,0.003304
9.5,4.36,1.316,0.81641,0.003307
9.5,4.34,1.316,0.87124,0.003308
9.5,4.32,1.316,0.92913,0.00331
9.5,4.3,1.316,0.98875,0.003311
9.5,4.28,1.316,1.05154,0.003312
9.5,4.26,1.316,1.11668,0.003313
9.5,4.24,1.316,1.18181,0.003313
9.5,4.22,1.316,1.24726,0.003313
9.5,4.2,1.316,1.31535,0.003314
9.5,4.18,1.316,1.38625,0.003314
9.5,4.16,1.316,1.45964,0.003314
9.5,4.14,1.315,1.53648,0.003315
9.5,4.12,1.315,1.61547,0.003315
9.5,4.1,1.315,1.6947,0.003315
9.5,4.08,1.315,1.77399,0.003315
9.5,4.06,1.315,1.8528,0.003315
9.5,4.04,1.315,1.93087,0.003316
9.5,4.02,1.315,2.00814,0.003316
9.5,4.0,1.315,2.08449,0.003316
9.5,3.98,1.315,2.15979,0.003316
9.5,3.96,1.315,2.23418,0.003316
9.5,3.94,1.315,2.30757,0.003316
9.5,3.92,1.315,2.37961,0.003316
9.5,3.9,1.315,2.44996,0.003316
9.5,3.88,1.315,2.51839,0.003317
9.5,3.86,1.315,2.58506,0.003317
9.5,3.84,1.315,2.65015,0.003317
9.5,3.82,1.315,2.71492,0.003317
9.5,3.8,1.315,2.7864,0.003317
9.5,3.78,1.315,2.87693,0.003317
9.5,3.76,1.315,2.97286,0.003317
9.5,3.74,1.315,3.04686,0.003317
9.5,3.72,1.315,3.09688,0.003317
9.5,3.7,1.315,3.1319,0.003318
9.5,3.68,1.315,3.15383,0.003318
9.5,3.66,1.315,3.16907,0.003318
9.5,3.64,1.315,3.17986,0.003318
9.5,3.62,1.315,3.18621,0.003318
9.5,3.6,1.315,3.18578,0.003318
9.5,3.58,1.314,3.18569,0.003319
9.5,3.56,1.314,3.1857,0.00332
9.5,3.54,1.314,3.18579,0.003321
9.5,3.52,1.314,3.18598,0.003322
9.5,3.5,1.314,3.18627,0.003322
9.5,3.48,1.314,3.18664,0.003323
9.5,3.46,1.314,3.18711,0.003324
9.5,3.44,1.314,3.18768,0.003325
9.5,3.42,1.314,3.18833,0.003326
9.5,3.4,1.314,3.18908,0.003327
